"CODE","NAME","YEAR","ANTIGEN","ANTIGEN_DESCRIPTION","COVERAGE"
"JPN","Japan",2013,"MCV1","Measles-containing vaccine, 1st dose",95
"JOR","Jordan",2013,"MCV1","Measles-containing vaccine, 1st dose",97
"JOR","Jordan",2013,"MCV2","Measles-containing vaccine, 2nd dose",98
"KAZ","Kazakhstan",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"KAZ","Kazakhstan",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"KEN","Kenya",2013,"MCV1","Measles-containing vaccine, 1st dose",94
"KEN","Kenya",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"KIR","Kiribati",2013,"MCV1","Measles-containing vaccine, 1st dose",91
"KIR","Kiribati",2013,"MCV2","Measles-containing vaccine, 2nd dose",84
"KWT","Kuwait",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"KWT","Kuwait",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"KGZ","Kyrgyzstan",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"KGZ","Kyrgyzstan",2013,"MCV2","Measles-containing vaccine, 2nd dose",97
"LAO","Lao People's Democratic Republic",2013,"MCV1","Measles-containing vaccine, 1st dose",78
"LAO","Lao People's Democratic Republic",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"LVA","Latvia",2013,"MCV1","Measles-containing vaccine, 1st dose",96
"LVA","Latvia",2013,"MCV2","Measles-containing vaccine, 2nd dose",92
"LBN","Lebanon",2013,"MCV2","Measles-containing vaccine, 2nd dose",65
"LBN","Lebanon",2013,"MCV1","Measles-containing vaccine, 1st dose",82
"LSO","Lesotho",2013,"MCV2","Measles-containing vaccine, 2nd dose",82
"LSO","Lesotho",2013,"MCV1","Measles-containing vaccine, 1st dose",90
"LBR","Liberia",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"LBR","Liberia",2013,"MCV1","Measles-containing vaccine, 1st dose",74
"LBY","Libya",2013,"MCV2","Measles-containing vaccine, 2nd dose",95
"LBY","Libya",2013,"MCV1","Measles-containing vaccine, 1st dose",96
"LTU","Lithuania",2013,"MCV1","Measles-containing vaccine, 1st dose",93
"LTU","Lithuania",2013,"MCV2","Measles-containing vaccine, 2nd dose",92
"LUX","Luxembourg",2013,"MCV2","Measles-containing vaccine, 2nd dose",86
"LUX","Luxembourg",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"MDG","Madagascar",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"MDG","Madagascar",2013,"MCV1","Measles-containing vaccine, 1st dose",64
"MWI","Malawi",2013,"MCV1","Measles-containing vaccine, 1st dose",88
"MWI","Malawi",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"MYS","Malaysia",2013,"MCV1","Measles-containing vaccine, 1st dose",95
"MYS","Malaysia",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"MDV","Maldives",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"MDV","Maldives",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"MLI","Mali",2013,"MCV1","Measles-containing vaccine, 1st dose",62
"MLI","Mali",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"MLT","Malta",2013,"MCV2","Measles-containing vaccine, 2nd dose",88
"MLT","Malta",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"MHL","Marshall Islands",2013,"MCV2","Measles-containing vaccine, 2nd dose",56
"MHL","Marshall Islands",2013,"MCV1","Measles-containing vaccine, 1st dose",79
"MRT","Mauritania",2013,"MCV1","Measles-containing vaccine, 1st dose",80
"MRT","Mauritania",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"MUS","Mauritius",2013,"MCV2","Measles-containing vaccine, 2nd dose",85
"MUS","Mauritius",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"MEX","Mexico",2013,"MCV2","Measles-containing vaccine, 2nd dose",76
"MEX","Mexico",2013,"MCV1","Measles-containing vaccine, 1st dose",89
"FSM","Micronesia (Federated States of)",2013,"MCV1","Measles-containing vaccine, 1st dose",91
"FSM","Micronesia (Federated States of)",2013,"MCV2","Measles-containing vaccine, 2nd dose",75
"MCO","Monaco",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"MCO","Monaco",2013,"MCV1","Measles-containing vaccine, 1st dose",91
"MNG","Mongolia",2013,"MCV1","Measles-containing vaccine, 1st dose",97
"MNG","Mongolia",2013,"MCV2","Measles-containing vaccine, 2nd dose",97
"MNE","Montenegro",2013,"MCV1","Measles-containing vaccine, 1st dose",88
"MNE","Montenegro",2013,"MCV2","Measles-containing vaccine, 2nd dose",94
"MAR","Morocco",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"MAR","Morocco",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"MOZ","Mozambique",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"MOZ","Mozambique",2013,"MCV1","Measles-containing vaccine, 1st dose",86
"MMR","Myanmar",2013,"MCV1","Measles-containing vaccine, 1st dose",86
"MMR","Myanmar",2013,"MCV2","Measles-containing vaccine, 2nd dose",80
"NAM","Namibia",2013,"MCV1","Measles-containing vaccine, 1st dose",82
"NAM","Namibia",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"NRU","Nauru",2013,"MCV1","Measles-containing vaccine, 1st dose",97
"NRU","Nauru",2013,"MCV2","Measles-containing vaccine, 2nd dose",88
"NPL","Nepal",2013,"MCV1","Measles-containing vaccine, 1st dose",88
"NPL","Nepal",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"NLD","Netherlands (Kingdom of the)",2013,"MCV2","Measles-containing vaccine, 2nd dose",92
"NLD","Netherlands (Kingdom of the)",2013,"MCV1","Measles-containing vaccine, 1st dose",96
"NZL","New Zealand",2013,"MCV1","Measles-containing vaccine, 1st dose",92
"NZL","New Zealand",2013,"MCV2","Measles-containing vaccine, 2nd dose",86
"NIC","Nicaragua",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"NIC","Nicaragua",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"NER","Niger",2013,"MCV1","Measles-containing vaccine, 1st dose",80
"NER","Niger",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"NGA","Nigeria",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"NGA","Nigeria",2013,"MCV1","Measles-containing vaccine, 1st dose",43
"NIU","Niue",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"NIU","Niue",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"MKD","North Macedonia",2013,"MCV1","Measles-containing vaccine, 1st dose",96
"MKD","North Macedonia",2013,"MCV2","Measles-containing vaccine, 2nd dose",96
"NOR","Norway",2013,"MCV1","Measles-containing vaccine, 1st dose",93
"NOR","Norway",2013,"MCV2","Measles-containing vaccine, 2nd dose",91
"PSE","occupied Palestinian territory, including east Jerusalem",2013,"MCV2","Measles-containing vaccine, 2nd dose",98
"PSE","occupied Palestinian territory, including east Jerusalem",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"OMN","Oman",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"OMN","Oman",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"PAK","Pakistan",2013,"MCV2","Measles-containing vaccine, 2nd dose",43
"PAK","Pakistan",2013,"MCV1","Measles-containing vaccine, 1st dose",68
"PLW","Palau",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"PLW","Palau",2013,"MCV2","Measles-containing vaccine, 2nd dose",98
"PAN","Panama",2013,"MCV1","Measles-containing vaccine, 1st dose",92
"PAN","Panama",2013,"MCV2","Measles-containing vaccine, 2nd dose",68
"PNG","Papua New Guinea",2013,"MCV1","Measles-containing vaccine, 1st dose",72
"PNG","Papua New Guinea",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"PRY","Paraguay",2013,"MCV1","Measles-containing vaccine, 1st dose",88
"PRY","Paraguay",2013,"MCV2","Measles-containing vaccine, 2nd dose",76
"PER","Peru",2013,"MCV1","Measles-containing vaccine, 1st dose",85
"PER","Peru",2013,"MCV2","Measles-containing vaccine, 2nd dose",54
"PHL","Philippines",2013,"MCV2","Measles-containing vaccine, 2nd dose",54
"PHL","Philippines",2013,"MCV1","Measles-containing vaccine, 1st dose",83
"POL","Poland",2013,"MCV1","Measles-containing vaccine, 1st dose",98
"POL","Poland",2013,"MCV2","Measles-containing vaccine, 2nd dose",93
"PRT","Portugal",2013,"MCV2","Measles-containing vaccine, 2nd dose",96
"PRT","Portugal",2013,"MCV1","Measles-containing vaccine, 1st dose",98
"QAT","Qatar",2013,"MCV1","Measles-containing vaccine, 1st dose",97
"QAT","Qatar",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"KOR","Republic of Korea",2013,"MCV2","Measles-containing vaccine, 2nd dose",95
"KOR","Republic of Korea",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"MDA","Republic of Moldova",2013,"MCV2","Measles-containing vaccine, 2nd dose",94
"MDA","Republic of Moldova",2013,"MCV1","Measles-containing vaccine, 1st dose",91
"ROU","Romania",2013,"MCV1","Measles-containing vaccine, 1st dose",92
"ROU","Romania",2013,"MCV2","Measles-containing vaccine, 2nd dose",88
"RUS","Russian Federation",2013,"MCV2","Measles-containing vaccine, 2nd dose",97
"RUS","Russian Federation",2013,"MCV1","Measles-containing vaccine, 1st dose",98
"RWA","Rwanda",2013,"MCV1","Measles-containing vaccine, 1st dose",95
"RWA","Rwanda",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"KNA","Saint Kitts and Nevis",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"KNA","Saint Kitts and Nevis",2013,"MCV2","Measles-containing vaccine, 2nd dose",94
"LCA","Saint Lucia",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"LCA","Saint Lucia",2013,"MCV2","Measles-containing vaccine, 2nd dose",62
"VCT","Saint Vincent and the Grenadines",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"VCT","Saint Vincent and the Grenadines",2013,"MCV2","Measles-containing vaccine, 2nd dose",96
"WSM","Samoa",2013,"MCV1","Measles-containing vaccine, 1st dose",92
"WSM","Samoa",2013,"MCV2","Measles-containing vaccine, 2nd dose",74
"SMR","San Marino",2013,"MCV1","Measles-containing vaccine, 1st dose",82
"SMR","San Marino",2013,"MCV2","Measles-containing vaccine, 2nd dose",85
"STP","Sao Tome and Principe",2013,"MCV1","Measles-containing vaccine, 1st dose",91
"STP","Sao Tome and Principe",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"SAU","Saudi Arabia",2013,"MCV1","Measles-containing vaccine, 1st dose",98
"SAU","Saudi Arabia",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"SEN","Senegal",2013,"MCV1","Measles-containing vaccine, 1st dose",84
"SEN","Senegal",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"SRB","Serbia",2013,"MCV2","Measles-containing vaccine, 2nd dose",82
"SRB","Serbia",2013,"MCV1","Measles-containing vaccine, 1st dose",92
"SYC","Seychelles",2013,"MCV1","Measles-containing vaccine, 1st dose",97
"SYC","Seychelles",2013,"MCV2","Measles-containing vaccine, 2nd dose",97
"SLE","Sierra Leone",2013,"MCV1","Measles-containing vaccine, 1st dose",85
"SLE","Sierra Leone",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"SGP","Singapore",2013,"MCV1","Measles-containing vaccine, 1st dose",95
"SGP","Singapore",2013,"MCV2","Measles-containing vaccine, 2nd dose",90
"SVK","Slovakia",2013,"MCV1","Measles-containing vaccine, 1st dose",98
"SVK","Slovakia",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"SVN","Slovenia",2013,"MCV1","Measles-containing vaccine, 1st dose",94
"SVN","Slovenia",2013,"MCV2","Measles-containing vaccine, 2nd dose",95
"SLB","Solomon Islands",2013,"MCV1","Measles-containing vaccine, 1st dose",76
"SLB","Solomon Islands",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"SOM","Somalia",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"SOM","Somalia",2013,"MCV1","Measles-containing vaccine, 1st dose",46
"ZAF","South Africa",2013,"MCV1","Measles-containing vaccine, 1st dose",78
"ZAF","South Africa",2013,"MCV2","Measles-containing vaccine, 2nd dose",50
"SSD","South Sudan",2013,"MCV1","Measles-containing vaccine, 1st dose",57
"SSD","South Sudan",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"ESP","Spain",2013,"MCV2","Measles-containing vaccine, 2nd dose",91
"ESP","Spain",2013,"MCV1","Measles-containing vaccine, 1st dose",95
"LKA","Sri Lanka",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"LKA","Sri Lanka",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"SDN","Sudan",2013,"MCV2","Measles-containing vaccine, 2nd dose",57
"SDN","Sudan",2013,"MCV1","Measles-containing vaccine, 1st dose",85
"SUR","Suriname",2013,"MCV2","Measles-containing vaccine, 2nd dose",15
"SUR","Suriname",2013,"MCV1","Measles-containing vaccine, 1st dose",81
"SWE","Sweden",2013,"MCV1","Measles-containing vaccine, 1st dose",97
"SWE","Sweden",2013,"MCV2","Measles-containing vaccine, 2nd dose",95
"CHE","Switzerland",2013,"MCV1","Measles-containing vaccine, 1st dose",93
"CHE","Switzerland",2013,"MCV2","Measles-containing vaccine, 2nd dose",86
"SYR","Syrian Arab Republic",2013,"MCV2","Measles-containing vaccine, 2nd dose",51
"SYR","Syrian Arab Republic",2013,"MCV1","Measles-containing vaccine, 1st dose",58
"TJK","Tajikistan",2013,"MCV1","Measles-containing vaccine, 1st dose",92
"TJK","Tajikistan",2013,"MCV2","Measles-containing vaccine, 2nd dose",92
"THA","Thailand",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"THA","Thailand",2013,"MCV2","Measles-containing vaccine, 2nd dose",94
"TLS","Timor-Leste",2013,"MCV1","Measles-containing vaccine, 1st dose",70
"TLS","Timor-Leste",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"TGO","Togo",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"TGO","Togo",2013,"MCV1","Measles-containing vaccine, 1st dose",72
"TON","Tonga",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"TON","Tonga",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"TTO","Trinidad and Tobago",2013,"MCV1","Measles-containing vaccine, 1st dose",91
"TTO","Trinidad and Tobago",2013,"MCV2","Measles-containing vaccine, 2nd dose",86
"TUN","Tunisia",2013,"MCV1","Measles-containing vaccine, 1st dose",94
"TUN","Tunisia",2013,"MCV2","Measles-containing vaccine, 2nd dose",98
"TUR","Türkiye",2013,"MCV1","Measles-containing vaccine, 1st dose",98
"TUR","Türkiye",2013,"MCV2","Measles-containing vaccine, 2nd dose",98
"TKM","Turkmenistan",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"TKM","Turkmenistan",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"TUV","Tuvalu",2013,"MCV1","Measles-containing vaccine, 1st dose",96
"TUV","Tuvalu",2013,"MCV2","Measles-containing vaccine, 2nd dose",84
"UGA","Uganda",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"UGA","Uganda",2013,"MCV1","Measles-containing vaccine, 1st dose",83
"UKR","Ukraine",2013,"MCV1","Measles-containing vaccine, 1st dose",79
"UKR","Ukraine",2013,"MCV2","Measles-containing vaccine, 2nd dose",54
"ARE","United Arab Emirates",2013,"MCV1","Measles-containing vaccine, 1st dose",98
"ARE","United Arab Emirates",2013,"MCV2","Measles-containing vaccine, 2nd dose",98
"GBR","United Kingdom of Great Britain and Northern Ireland",2013,"MCV1","Measles-containing vaccine, 1st dose",93
"GBR","United Kingdom of Great Britain and Northern Ireland",2013,"MCV2","Measles-containing vaccine, 2nd dose",88
"TZA","United Republic of Tanzania",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"TZA","United Republic of Tanzania",2013,"MCV1","Measles-containing vaccine, 1st dose",99
"USA","United States of America",2013,"MCV2","Measles-containing vaccine, 2nd dose",91
"USA","United States of America",2013,"MCV1","Measles-containing vaccine, 1st dose",92
"URY","Uruguay",2013,"MCV1","Measles-containing vaccine, 1st dose",96
"URY","Uruguay",2013,"MCV2","Measles-containing vaccine, 2nd dose",92
"UZB","Uzbekistan",2013,"MCV1","Measles-containing vaccine, 1st dose",97
"UZB","Uzbekistan",2013,"MCV2","Measles-containing vaccine, 2nd dose",99
"VUT","Vanuatu",2013,"MCV1","Measles-containing vaccine, 1st dose",84
"VUT","Vanuatu",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"VEN","Venezuela (Bolivarian Republic of)",2013,"MCV2","Measles-containing vaccine, 2nd dose",38
"VEN","Venezuela (Bolivarian Republic of)",2013,"MCV1","Measles-containing vaccine, 1st dose",85
"VNM","Viet Nam",2013,"MCV1","Measles-containing vaccine, 1st dose",98
"VNM","Viet Nam",2013,"MCV2","Measles-containing vaccine, 2nd dose",86
"YEM","Yemen",2013,"MCV1","Measles-containing vaccine, 1st dose",70
"YEM","Yemen",2013,"MCV2","Measles-containing vaccine, 2nd dose",47
"ZMB","Zambia",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"ZMB","Zambia",2013,"MCV1","Measles-containing vaccine, 1st dose",80
"ZWE","Zimbabwe",2013,"MCV2","Measles-containing vaccine, 2nd dose",NA
"ZWE","Zimbabwe",2013,"MCV1","Measles-containing vaccine, 1st dose",93
"AFG","Afghanistan",2012,"MCV1","Measles-containing vaccine, 1st dose",59
"AFG","Afghanistan",2012,"MCV2","Measles-containing vaccine, 2nd dose",33
"ALB","Albania",2012,"MCV1","Measles-containing vaccine, 1st dose",98
"ALB","Albania",2012,"MCV2","Measles-containing vaccine, 2nd dose",99
"DZA","Algeria",2012,"MCV2","Measles-containing vaccine, 2nd dose",95
"DZA","Algeria",2012,"MCV1","Measles-containing vaccine, 1st dose",95
"AND","Andorra",2012,"MCV1","Measles-containing vaccine, 1st dose",98
"AND","Andorra",2012,"MCV2","Measles-containing vaccine, 2nd dose",89
"AGO","Angola",2012,"MCV1","Measles-containing vaccine, 1st dose",65
"AGO","Angola",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"ATG","Antigua and Barbuda",2012,"MCV1","Measles-containing vaccine, 1st dose",98
"ATG","Antigua and Barbuda",2012,"MCV2","Measles-containing vaccine, 2nd dose",90
"ARG","Argentina",2012,"MCV2","Measles-containing vaccine, 2nd dose",89
"ARG","Argentina",2012,"MCV1","Measles-containing vaccine, 1st dose",94
"ARM","Armenia",2012,"MCV2","Measles-containing vaccine, 2nd dose",97
"ARM","Armenia",2012,"MCV1","Measles-containing vaccine, 1st dose",97
"AUS","Australia",2012,"MCV1","Measles-containing vaccine, 1st dose",94
"AUS","Australia",2012,"MCV2","Measles-containing vaccine, 2nd dose",91
"AUT","Austria",2012,"MCV1","Measles-containing vaccine, 1st dose",88
"AUT","Austria",2012,"MCV2","Measles-containing vaccine, 2nd dose",78
"AZE","Azerbaijan",2012,"MCV1","Measles-containing vaccine, 1st dose",94
"AZE","Azerbaijan",2012,"MCV2","Measles-containing vaccine, 2nd dose",95
"BHS","Bahamas",2012,"MCV2","Measles-containing vaccine, 2nd dose",73
"BHS","Bahamas",2012,"MCV1","Measles-containing vaccine, 1st dose",91
"BHR","Bahrain",2012,"MCV1","Measles-containing vaccine, 1st dose",99
"BHR","Bahrain",2012,"MCV2","Measles-containing vaccine, 2nd dose",99
"BGD","Bangladesh",2012,"MCV2","Measles-containing vaccine, 2nd dose",41
"BGD","Bangladesh",2012,"MCV1","Measles-containing vaccine, 1st dose",88
"BRB","Barbados",2012,"MCV1","Measles-containing vaccine, 1st dose",90
"BRB","Barbados",2012,"MCV2","Measles-containing vaccine, 2nd dose",90
"BLR","Belarus",2012,"MCV1","Measles-containing vaccine, 1st dose",98
"BLR","Belarus",2012,"MCV2","Measles-containing vaccine, 2nd dose",97
"BEL","Belgium",2012,"MCV1","Measles-containing vaccine, 1st dose",96
"BEL","Belgium",2012,"MCV2","Measles-containing vaccine, 2nd dose",80
"BLZ","Belize",2012,"MCV1","Measles-containing vaccine, 1st dose",96
"BLZ","Belize",2012,"MCV2","Measles-containing vaccine, 2nd dose",93
"BEN","Benin",2012,"MCV1","Measles-containing vaccine, 1st dose",74
"BEN","Benin",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"BTN","Bhutan",2012,"MCV2","Measles-containing vaccine, 2nd dose",90
"BTN","Bhutan",2012,"MCV1","Measles-containing vaccine, 1st dose",95
"BOL","Bolivia (Plurinational State of)",2012,"MCV1","Measles-containing vaccine, 1st dose",92
"BOL","Bolivia (Plurinational State of)",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"BIH","Bosnia and Herzegovina",2012,"MCV2","Measles-containing vaccine, 2nd dose",94
"BIH","Bosnia and Herzegovina",2012,"MCV1","Measles-containing vaccine, 1st dose",94
"BWA","Botswana",2012,"MCV1","Measles-containing vaccine, 1st dose",97
"BWA","Botswana",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"BRA","Brazil",2012,"MCV2","Measles-containing vaccine, 2nd dose",70
"BRA","Brazil",2012,"MCV1","Measles-containing vaccine, 1st dose",99
"BRN","Brunei Darussalam",2012,"MCV2","Measles-containing vaccine, 2nd dose",96
"BRN","Brunei Darussalam",2012,"MCV1","Measles-containing vaccine, 1st dose",95
"BGR","Bulgaria",2012,"MCV1","Measles-containing vaccine, 1st dose",94
"BGR","Bulgaria",2012,"MCV2","Measles-containing vaccine, 2nd dose",94
"BFA","Burkina Faso",2012,"MCV1","Measles-containing vaccine, 1st dose",87
"BFA","Burkina Faso",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"BDI","Burundi",2012,"MCV1","Measles-containing vaccine, 1st dose",93
"BDI","Burundi",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"CPV","Cabo Verde",2012,"MCV1","Measles-containing vaccine, 1st dose",91
"CPV","Cabo Verde",2012,"MCV2","Measles-containing vaccine, 2nd dose",94
"KHM","Cambodia",2012,"MCV2","Measles-containing vaccine, 2nd dose",41
"KHM","Cambodia",2012,"MCV1","Measles-containing vaccine, 1st dose",84
"CMR","Cameroon",2012,"MCV1","Measles-containing vaccine, 1st dose",82
"CMR","Cameroon",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"CAN","Canada",2012,"MCV2","Measles-containing vaccine, 2nd dose",83
"CAN","Canada",2012,"MCV1","Measles-containing vaccine, 1st dose",89
"CAF","Central African Republic",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"CAF","Central African Republic",2012,"MCV1","Measles-containing vaccine, 1st dose",48
"TCD","Chad",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"TCD","Chad",2012,"MCV1","Measles-containing vaccine, 1st dose",63
"CHL","Chile",2012,"MCV1","Measles-containing vaccine, 1st dose",90
"CHL","Chile",2012,"MCV2","Measles-containing vaccine, 2nd dose",74
"CHN","China",2012,"MCV1","Measles-containing vaccine, 1st dose",99
"CHN","China",2012,"MCV2","Measles-containing vaccine, 2nd dose",99
"COL","Colombia",2012,"MCV1","Measles-containing vaccine, 1st dose",94
"COL","Colombia",2012,"MCV2","Measles-containing vaccine, 2nd dose",80
"COM","Comoros",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"COM","Comoros",2012,"MCV1","Measles-containing vaccine, 1st dose",85
"COG","Congo",2012,"MCV1","Measles-containing vaccine, 1st dose",80
"COG","Congo",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"COK","Cook Islands",2012,"MCV1","Measles-containing vaccine, 1st dose",97
"COK","Cook Islands",2012,"MCV2","Measles-containing vaccine, 2nd dose",98
"CRI","Costa Rica",2012,"MCV1","Measles-containing vaccine, 1st dose",90
"CRI","Costa Rica",2012,"MCV2","Measles-containing vaccine, 2nd dose",95
"CIV","Côte d'Ivoire",2012,"MCV1","Measles-containing vaccine, 1st dose",74
"CIV","Côte d'Ivoire",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"HRV","Croatia",2012,"MCV1","Measles-containing vaccine, 1st dose",95
"HRV","Croatia",2012,"MCV2","Measles-containing vaccine, 2nd dose",97
"CUB","Cuba",2012,"MCV1","Measles-containing vaccine, 1st dose",99
"CUB","Cuba",2012,"MCV2","Measles-containing vaccine, 2nd dose",96
"CYP","Cyprus",2012,"MCV1","Measles-containing vaccine, 1st dose",86
"CYP","Cyprus",2012,"MCV2","Measles-containing vaccine, 2nd dose",88
"CZE","Czechia",2012,"MCV2","Measles-containing vaccine, 2nd dose",99
"CZE","Czechia",2012,"MCV1","Measles-containing vaccine, 1st dose",98
"PRK","Democratic People's Republic of Korea",2012,"MCV2","Measles-containing vaccine, 2nd dose",76
"PRK","Democratic People's Republic of Korea",2012,"MCV1","Measles-containing vaccine, 1st dose",99
"COD","Democratic Republic of the Congo",2012,"MCV1","Measles-containing vaccine, 1st dose",69
"COD","Democratic Republic of the Congo",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"DNK","Denmark",2012,"MCV1","Measles-containing vaccine, 1st dose",90
"DNK","Denmark",2012,"MCV2","Measles-containing vaccine, 2nd dose",87
"DJI","Djibouti",2012,"MCV2","Measles-containing vaccine, 2nd dose",82
"DJI","Djibouti",2012,"MCV1","Measles-containing vaccine, 1st dose",83
"DMA","Dominica",2012,"MCV1","Measles-containing vaccine, 1st dose",99
"DMA","Dominica",2012,"MCV2","Measles-containing vaccine, 2nd dose",94
"DOM","Dominican Republic",2012,"MCV1","Measles-containing vaccine, 1st dose",88
"DOM","Dominican Republic",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"ECU","Ecuador",2012,"MCV2","Measles-containing vaccine, 2nd dose",81
"ECU","Ecuador",2012,"MCV1","Measles-containing vaccine, 1st dose",96
"EGY","Egypt",2012,"MCV2","Measles-containing vaccine, 2nd dose",92
"EGY","Egypt",2012,"MCV1","Measles-containing vaccine, 1st dose",93
"SLV","El Salvador",2012,"MCV1","Measles-containing vaccine, 1st dose",93
"SLV","El Salvador",2012,"MCV2","Measles-containing vaccine, 2nd dose",95
"GNQ","Equatorial Guinea",2012,"MCV1","Measles-containing vaccine, 1st dose",49
"GNQ","Equatorial Guinea",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"ERI","Eritrea",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"ERI","Eritrea",2012,"MCV1","Measles-containing vaccine, 1st dose",98
"EST","Estonia",2012,"MCV1","Measles-containing vaccine, 1st dose",94
"EST","Estonia",2012,"MCV2","Measles-containing vaccine, 2nd dose",94
"SWZ","Eswatini",2012,"MCV2","Measles-containing vaccine, 2nd dose",52
"SWZ","Eswatini",2012,"MCV1","Measles-containing vaccine, 1st dose",88
"ETH","Ethiopia",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"ETH","Ethiopia",2012,"MCV1","Measles-containing vaccine, 1st dose",62
"FJI","Fiji",2012,"MCV1","Measles-containing vaccine, 1st dose",98
"FJI","Fiji",2012,"MCV2","Measles-containing vaccine, 2nd dose",92
"FIN","Finland",2012,"MCV1","Measles-containing vaccine, 1st dose",97
"FIN","Finland",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"FRA","France",2012,"MCV1","Measles-containing vaccine, 1st dose",91
"FRA","France",2012,"MCV2","Measles-containing vaccine, 2nd dose",72
"GAB","Gabon",2012,"MCV2","Measles-containing vaccine, 2nd dose",NA
"GAB","Gabon",2012,"MCV1","Measles-containing vaccine, 1st dose",71
"GMB","Gambia",2012,"MCV2","Measles-containing vaccine, 2nd dose",56
"GMB","Gambia",2012,"MCV1","Measles-containing vaccine, 1st dose",95
